"","State","WeekOfYear","GSV_anxiety","GSV_depression","GSV_insomnia","GSV_suicide","GSV_therapy","GSV_index","GSV_workout","SP","NCases","NDeaths","Unemplyment_claims","Recreation","Grocery","Transit","Parks","Workplace","Residential","Mobility_index","Mobility_index_excl_Mobility","Drug_death","GSV_workout_L1","SP_L1","NCases_L1","NDeaths_L1","Unemplyment_claims_L1","Recreation_L1","Grocery_L1","Transit_L1","Parks_L1","Workplace_L1","Residential_L1","Mobility_index_L1","Mobility_index_excl_Mobility_L1","Drug_death_L1","GSV_workout_L2","SP_L2","NCases_L2","NDeaths_L2","Unemplyment_claims_L2","Recreation_L2","Grocery_L2","Transit_L2","Parks_L2","Workplace_L2","Residential_L2","Mobility_index_L2","Mobility_index_excl_Mobility_L2","Drug_death_L2"
"1245","Texas","49",85,75,80,40,87,73.4,70,0.010867042553482,108606,1357,38.645,-16.2857142857143,-9.28571428571429,-27.5714285714286,-26,-24.5714285714286,9.28571428571429,-15.7380952380952,-13.6857142857143,4155,64,0.00743795060254551,73091,1278,47.521,-23,-8.14285714285714,-29.7142857142857,-23.5714285714286,-43.4285714285714,13,-19.1428571428571,-18.2571428571429,4066,59,0.00716990854765015,85214,1192,24.792,-17.1428571428571,-8.42857142857143,-24.7142857142857,-13.5714285714286,-25,8.28571428571429,-13.4285714285714,-13.4,4066
"1246","Texas","50",90,61,69,36,76,66.4,55,-0.00206090890674593,97398,1536,34.979,-17.1428571428571,-9,-28.7142857142857,-22.1428571428571,-24.7142857142857,9,-15.452380952381,-14.1142857142857,4155,70,0.010867042553482,108606,1357,38.645,-16.2857142857143,-9.28571428571429,-27.5714285714286,-26,-24.5714285714286,9.28571428571429,-15.7380952380952,-13.6857142857143,4155,64,0.00743795060254551,73091,1278,47.521,-23,-8.14285714285714,-29.7142857142857,-23.5714285714286,-43.4285714285714,13,-19.1428571428571,-18.2571428571429,4066
"1247","Texas","51",74,44,66,39,57,56,51,-0.0019920857896075,108957,1588,31.448,-14,-5.71428571428571,-23.4285714285714,-27.5714285714286,-25,8.85714285714286,-14.4761904761905,-11.8571428571429,4155,55,-0.00206090890674593,97398,1536,34.979,-17.1428571428571,-9,-28.7142857142857,-22.1428571428571,-24.7142857142857,9,-15.452380952381,-14.1142857142857,4155,70,0.010867042553482,108606,1357,38.645,-16.2857142857143,-9.28571428571429,-27.5714285714286,-26,-24.5714285714286,9.28571428571429,-15.7380952380952,-13.6857142857143,4155
"1248","Utah","09",65,60,17,70,66,55.6,76,-0.0399078067009568,0,0,1.015,6.71428571428571,10.4285714285714,6.57142857142857,22.7142857142857,2.57142857142857,-0.857142857142857,8.02380952380952,5.08571428571429,550,63,-0.0718276468790519,0,0,885,6.28571428571429,7.71428571428571,2.14285714285714,25.8571428571429,-3.14285714285714,0.714285714285714,6.59523809523809,2.74285714285714,560,89,0.00373464373464372,0,0,1.008,3.5,3,-4,11,-1.5,0,2,0.2,560
"1249","Utah","10",74,70,60,72,74,70,43,-0.0403346906974498,1,0,1.305,8.85714285714286,15.2857142857143,4.85714285714286,41.2857142857143,2.28571428571429,-0.857142857142857,11.952380952381,6.08571428571429,550,76,-0.0399078067009568,0,0,1.015,6.71428571428571,10.4285714285714,6.57142857142857,22.7142857142857,2.57142857142857,-0.857142857142857,8.02380952380952,5.08571428571429,550,63,-0.0718276468790519,0,0,885,6.28571428571429,7.71428571428571,2.14285714285714,25.8571428571429,-3.14285714285714,0.714285714285714,6.59523809523809,2.74285714285714,560
"1250","Utah","11",64,79,33,52,42,54,83,-0.122488489815178,20,0,19.69,1.85714285714286,26.4285714285714,-3.28571428571429,46.5714285714286,-3.42857142857143,1.28571428571429,11.5714285714286,4.57142857142857,550,43,-0.0403346906974498,1,0,1.305,8.85714285714286,15.2857142857143,4.85714285714286,41.2857142857143,2.28571428571429,-0.857142857142857,11.952380952381,6.08571428571429,550,76,-0.0399078067009568,0,0,1.015,6.71428571428571,10.4285714285714,6.57142857142857,22.7142857142857,2.57142857142857,-0.857142857142857,8.02380952380952,5.08571428571429,550
"1251","Utah","12",76,69,71,52,55,64.6,78,-0.032366093492383,148,1,28.532,-26.7142857142857,12.2857142857143,-28.4285714285714,47.5714285714286,-31,12,-2.38095238095238,-12.3714285714286,550,83,-0.122488489815178,20,0,19.69,1.85714285714286,26.4285714285714,-3.28571428571429,46.5714285714286,-3.42857142857143,1.28571428571429,11.5714285714286,4.57142857142857,550,43,-0.0403346906974498,1,0,1.305,8.85714285714286,15.2857142857143,4.85714285714286,41.2857142857143,2.28571428571429,-0.857142857142857,11.952380952381,6.08571428571429,550
"1252","Utah","13",63,89,16,76,50,58.8,100,0.0560856116665918,620,2,33.04,-37,-7.14285714285714,-40.8571428571429,12,-39.4285714285714,15.7142857142857,-16.1190476190476,-21.7428571428571,550,78,-0.032366093492383,148,1,28.532,-26.7142857142857,12.2857142857143,-28.4285714285714,47.5714285714286,-31,12,-2.38095238095238,-12.3714285714286,550,83,-0.122488489815178,20,0,19.69,1.85714285714286,26.4285714285714,-3.28571428571429,46.5714285714286,-3.42857142857143,1.28571428571429,11.5714285714286,4.57142857142857,550
"1253","Utah","14",73,76,51,71,68,67.8,96,0.0289484986013254,816,5,24.515,-38.5714285714286,-10,-43.7142857142857,28.8571428571429,-45,17,-15.2380952380952,-24.0571428571429,562,100,0.0560856116665918,620,2,33.04,-37,-7.14285714285714,-40.8571428571429,12,-39.4285714285714,15.7142857142857,-16.1190476190476,-21.7428571428571,550,78,-0.032366093492383,148,1,28.532,-26.7142857142857,12.2857142857143,-28.4285714285714,47.5714285714286,-31,12,-2.38095238095238,-12.3714285714286,550
"1254","Utah","15",80,73,39,49,56,59.4,96,0.0701847402243355,733,10,19.649,-38.8571428571429,-10.2857142857143,-45.7142857142857,39.4285714285714,-47,17,-14.2380952380952,-24.9714285714286,562,96,0.0289484986013254,816,5,24.515,-38.5714285714286,-10,-43.7142857142857,28.8571428571429,-45,17,-15.2380952380952,-24.0571428571429,562,100,0.0560856116665918,620,2,33.04,-37,-7.14285714285714,-40.8571428571429,12,-39.4285714285714,15.7142857142857,-16.1190476190476,-21.7428571428571,550
