"Code","Week","AvgNCases","AvgNDeaths","State"
"CA","35",4164.42857142857,106.428571428571,"California"
"CA","36",3647,95.5714285714286,"California"
"CA","31",7226.57142857143,149.142857142857,"California"
"CA","27",8972.42857142857,91.4285714285714,"California"
"CA","15",1336,54,"California"
"CA","16",1418.57142857143,76,"California"
"CA","09",31.7142857142857,0,"California"
"CA","18",1907.71428571429,75.5714285714286,"California"
"CA","06",11.8571428571429,0.142857142857143,"California"
"CA","07",7.28571428571429,0,"California"
"CA","42",3644.85714285714,44.7142857142857,"California"
"CA","26",8171.14285714286,76.1428571428571,"California"
"CA","10",94.5714285714286,0.428571428571429,"California"
"CA","11",360.142857142857,0.714285714285714,"California"
"CA","12",749.285714285714,4,"California"
"CA","17",1632.28571428571,78.2857142857143,"California"
"CA","38",3322,71.1428571428571,"California"
"CA","39",3371.42857142857,66.1428571428571,"California"
"CA","04",0.4,0,"California"
"CA","45",7586.71428571429,48.8571428571429,"California"
"CA","30",8651.42857142857,137.428571428571,"California"
"CA","53",46444,595.75,"California"
"CA","41",3503.57142857143,55.2857142857143,"California"
"CA","50",36989.4285714286,260.857142857143,"California"
"CA","37",3056.42857142857,79.7142857142857,"California"
"CA","43",4155.42857142857,43.7142857142857,"California"
"CA","44",4688.85714285714,45.4285714285714,"California"
"CA","48",16728.2857142857,110,"California"
"CA","05",0.142857142857143,0,"California"
"CA","13",897.142857142857,16.7142857142857,"California"
"CA","49",29499.4285714286,171.428571428571,"California"
"CA","28",10141.4285714286,102.571428571429,"California"
"CA","40",3364.57142857143,57.2857142857143,"California"
"CA","29",10073.7142857143,126.571428571429,"California"
"CA","46",10131.1428571429,60.2857142857143,"California"
"CA","47",15576.2857142857,88.5714285714286,"California"
"CA","51",42178.4285714286,370.571428571429,"California"
"CA","52",34988,509.142857142857,"California"
"CO","50",3986,86,"Colorado"
"CO","49",4983,50.4285714285714,"Colorado"
"CO","18",507,23.2857142857143,"Colorado"
"CO","16",351.142857142857,18.7142857142857,"Colorado"
"CO","17",522.714285714286,36.8571428571429,"Colorado"
"CO","52",2120.14285714286,34.5714285714286,"Colorado"
"CO","53",2045.75,51,"Colorado"
"CO","07",0,0,"Colorado"
"CO","51",2792,58.5714285714286,"Colorado"
"CO","15",364.714285714286,21.4285714285714,"Colorado"
"CO","47",5350.14285714286,37.1428571428571,"Colorado"
"CO","48",4665.28571428571,28.1428571428571,"Colorado"
"CO","32",419.285714285714,2,"Colorado"
"CO","08",0,0,"Colorado"
"CO","09",0,0,"Colorado"
"CO","10",1.42857142857143,0,"Colorado"
